id,value
id_0,5.823404776504066
id_1,14.607728836398696
id_2,20.360174358649278
id_3,7.921528401350589
id_4,23.854965917996154
id_5,19.23425002742735
id_6,21.655524249736064
id_7,25.955979080367456
id_8,14.919033989285595
id_9,49.4454105526862
id_10,11.204803911281797
id_11,10.886571411390007
id_12,52.84722346355248
id_13,44.86021824517136
id_14,21.09436783721886
id_15,13.027950779995784
id_16,26.70179828503798
id_17,54.94073943889707
id_18,3.739905973744566
id_19,17.462029670892466
id_20,34.904858968645954
id_21,57.94714729501036
id_22,8.677173506976121
id_23,16.29602757195792
id_24,13.739191897330924
id_25,33.68163634641556
id_26,14.373365315926007
id_27,64.18250765815618
id_28,8.428196265705573
id_29,44.07410117107452
id_30,18.632358702200918
id_31,10.548561769536757
id_32,1.8029447262542853
id_33,17.165617886457486
id_34,24.834304723404202
id_35,32.08608155878777
id_36,35.96946533239908
id_37,26.58626464236688
id_38,32.625956271960526
id_39,31.210717367031936
id_40,6.978643357462715
id_41,32.99930379469123
id_42,28.769420984351957
id_43,41.29162890045118
id_44,14.585714063741134
id_45,31.573928877766484
id_46,21.938182895014904
id_47,12.20436091363125
id_48,23.31602321525634
id_49,28.58558051280597
id_50,15.065209480790369
id_51,6.170304797947431
id_52,23.157317292451054
id_53,41.28860980607969
id_54,13.840634760303038
id_55,30.950232442082036
id_56,30.59024289383555
id_57,19.255780233466627
id_58,50.95902170284936
id_59,19.513565716901486
id_60,11.14720897482771
id_61,36.887871167221306
id_62,14.48879138539668
id_63,42.471513588054684
id_64,13.249960029803027
id_65,16.337727679762825
id_66,12.976308515602746
id_67,3.6011419200236183
id_68,37.09454586637075
id_69,25.265407387286942
id_70,18.60758226007256
id_71,34.672179672437025
id_72,51.4100218998139
id_73,5.90421958957625
id_74,14.307372222689239
id_75,5.14867992445798
id_76,33.01824742892964
id_77,13.400226852015237
id_78,19.991205679553783
id_79,17.52018438816549
id_80,18.847156017978282
id_81,25.694980011897425
id_82,17.319025099604957
id_83,75.99513226496771
id_84,30.483623164294265
id_85,24.60905252355081
id_86,19.174320120457374
id_87,30.20534994748676
id_88,19.309922709241295
id_89,18.224161110409355
id_90,25.230757761316983
id_91,33.6058671123012
id_92,4.920118030371469
id_93,32.7253711399591
id_94,37.22058650278754
id_95,13.816813869672314
id_96,23.68309794465743
id_97,14.080530987995932
id_98,22.45863328562995
id_99,4.3367359425141885
id_100,15.762124412624804
id_101,23.32475863523623
id_102,15.814933112200197
id_103,16.042743532872052
id_104,20.068349150448526
id_105,35.191318851606695
id_106,24.13823831908951
id_107,9.02276128299296
id_108,9.383340339459735
id_109,63.57399651276991
id_110,38.96424807747219
id_111,15.616374173827365
id_112,24.136585284096096
id_113,14.301545960101906
id_114,11.97982382580054
id_115,23.276342921757024
id_116,24.227725077902214
id_117,8.384023213180946
id_118,16.907292920230145
id_119,16.891200262811672
id_120,57.35175299566701
id_121,19.34526996434887
id_122,30.254148381259714
id_123,21.931559849113192
id_124,8.179259031575736
id_125,34.54402391811377
id_126,8.006901490017
id_127,18.520698967824657
id_128,24.896308695046507
id_129,50.305341994526984
id_130,19.111822048084832
id_131,23.0051727920094
id_132,48.47854378462648
id_133,15.810878920351914
id_134,10.796595510467089
id_135,4.243048451125087
id_136,12.627489981820872
id_137,48.73773806372736
id_138,12.028055945487646
id_139,7.847746804930846
id_140,24.405890729202245
id_141,23.32305226854115
id_142,36.883771221032234
id_143,25.17506696381945
id_144,16.798854151920942
id_145,23.08004458455761
id_146,10.550693894896046
id_147,43.563399662116446
id_148,17.624722388752197
id_149,33.44894965618768
id_150,12.322487639940682
id_151,8.573400984381248
id_152,21.70934376668002
id_153,8.848731367669458
id_154,15.887309136220068
id_155,33.08040361933088
id_156,8.273480603528256
id_157,29.00445754065555
id_158,9.714949375864325
id_159,16.472765425877785
id_160,33.662738583042774
id_161,17.752333756018338
id_162,13.927829004062415
id_163,7.818467802295125
id_164,39.90359094134037
id_165,24.28396764341844
id_166,4.952189336521748
id_167,13.566492318709074
id_168,50.475068984912056
id_169,11.913789617871965
id_170,50.826148696296954
id_171,31.791677173607866
id_172,25.383776054318716
id_173,17.283147050456485
id_174,48.007508756283
id_175,18.38398446852861
id_176,20.511142657261075
id_177,30.569499764750404
id_178,10.720728339075144
id_179,28.243921929386236
id_180,14.719969694285385
id_181,10.718444877204725
id_182,42.40396892795175
id_183,42.62335806576468
id_184,14.329190909489412
id_185,25.97030820053633
id_186,20.734852118103145
id_187,56.44757725521998
id_188,9.970960754949644
id_189,45.20798216206024
id_190,34.886362919978474
id_191,15.453604828363126
id_192,24.212273906497096
id_193,2.913129140159107
id_194,18.16951222483059
id_195,3.110988954616534
id_196,31.50628601483008
id_197,11.203714526359942
id_198,17.770002393112932
id_199,52.63512076156969
id_200,23.529570551306218
id_201,23.706116917231064
id_202,53.03422355621298
id_203,10.918218313202992
id_204,9.889757236417564
id_205,11.468307783338911
id_206,7.096931479201672
id_207,3.9038289387289886
id_208,102.1423436619285
id_209,17.678015651144648
id_210,13.831698100997423
id_211,13.327521869337076
id_212,31.16601900397868
id_213,31.430858245667277
id_214,19.87000214064437
id_215,28.210002722887698
id_216,67.41175133834666
id_217,2.8730109072530006
id_218,13.058409307514843
id_219,26.631071159142458
id_220,15.040649506725845
id_221,12.673694891804585
id_222,95.7995607935653
id_223,11.777461250006
id_224,14.966465129055809
id_225,45.90951952026366
id_226,12.456687979980579
id_227,18.987024239221082
id_228,9.815910016726324
id_229,6.849032495420786
id_230,37.14647069532156
id_231,11.693364089506812
id_232,45.52485507580884
id_233,34.31486169405959
id_234,18.841115264993178
id_235,37.686155920407074
id_236,59.04291159054089
id_237,36.626911597558575
id_238,2.7458683556952472
id_239,17.067590917463157
